Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 2:1, 5.5:1, Hex:1;;AANEPH4025L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 3:2, 5.5:1, Hex:1;;AANEPH4035L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 4:3, 5.5:1, Hex:1;;AANEPH4045L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 5:4, 5.5:1, Hex:1;;AANEPH4055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 2:5, 7:1, Hex:1;;AANEPH4027L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 3:6, 7:1, Hex:1;;AANEPH4037L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 4:7, 7:1, Hex:1;;AANEPH4047L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 5:8, 7:1, Hex:1;;AANEPH4057L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 2:1, 5.5:1, Non-Hex:1;;AANEPN4025L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 3:2, 5.5:1, Non-Hex:1;;AANEPN4035L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 4:3, 5.5:1, Non-Hex:1;;AANEPN4045L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 5:4, 5.5:1, Non-Hex:1;;AANEPN4055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 2:5, 7:1, Non-Hex:1;;AANEPN4027L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 3:6, 7:1, Non-Hex:1;;AANEPN4037L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 4:7, 7:1, Non-Hex:1;;AANEPN4047L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;4.0:1, 5:8, 7:1, Non-Hex:1;;AANEPN4057L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;5.0:1, 2:1, 5.5:1, Hex:1;;AANEPH5025L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;5.0:1, 3:2, 5.5:1, Hex:1;;AANEPH5035L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;5.0:1, 4:3, 5.5:1, Hex:1;;AANEPH5045L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
10;AnyRidge Abutment EZ Post;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1;5.0:1, 5:4, 5.5:1, Hex:1;;AANEPH5055L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
