ID;Active (0 /1);Name *;Parent category;Root category (0 /1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL;;;;;;;;;;;;;;;
3;1;Implants;2;0;;;;;;http://local.shop.megagen.fr/img/import/categories/3.png;;;;;;;;;;;;;;;
30;1;AnyRidge Internal Fixtures;3;0;;;;;;http://local.shop.megagen.fr/img/import/categories/30.png;;;;;;;;;;;;;;;
31;1;AnyRidge Abutment Options;3;0;;;;;;http://local.shop.megagen.fr/img/import/categories/31.png;;;;;;;;;;;;;;;
310;1;Fixture Level Prosthesis;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/310.png;;;;;;;;;;;;;;;
311;1;Solid Abutment Prosthesis;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/311.png;;;;;;;;;;;;;;;
312;1;Octa Abutment Prothesis;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/312.png;;;;;;;;;;;;;;;
313;1;Multi-unit Prosthesis;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/313.png;;;;;;;;;;;;;;;
314;1;Flat Abutment Prothesis;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/314.png;;;;;;;;;;;;;;;
315;1;Meg-Rhein Overdenture System;31;0;;;;;;http://local.shop.megagen.fr/img/import/categories/315.png;;;;;;;;;;;;;;;
4;1;Equipment;2;0;;;;;;http://local.shop.megagen.fr/img/import/categories/4.png;;;;;;;;;;;;;;;
41;1;AnyRidge Surgical Kits;4;0;;;;;;http://local.shop.megagen.fr/img/import/categories/41.png;;;;;;;;;;;;;;;
42;1;AnyRidge Surgical Components;4;0;;;;;;http://local.shop.megagen.fr/img/import/categories/42.png;;;;;;;;;;;;;;;
43;1;Optional Surgical Components;4;0;;;;;;http://local.shop.megagen.fr/img/import/categories/43.png;;;;;;;;;;;;;;;
44;1;MEG-TORQ / MEGA ISQ;4;0;;;;;;http://local.shop.megagen.fr/img/import/categories/44.png;;;;;;;;;;;;;;;
45;1;911 Kit;4;0;;;;;;http://local.shop.megagen.fr/img/import/categories/45.png;;;;;;;;;;;;;;;
5;1;Regeneration;2;0;;;;;;http://local.shop.megagen.fr/img/import/categories/5.png;;;;;;;;;;;;;;;
51;1;i-Gen;5;0;;;;;;http://local.shop.megagen.fr/img/import/categories/51.png;;;;;;;;;;;;;;;
